price,bedrooms,bathrooms,sqft,status,address
5950000,1,2,2800,sold,"185 Lafayette St, New York, NY 10013"
635000,1,1,14789,sold,"45 Spring St, New York, NY 10012"
4400000,7,7,5450,sold,"148 Baxter St, New York, NY 10013"
1355000,1,1,582,sold,"185 Grand St #3C, New York, NY 10013"
1415000,1,1,582,sold,"185 Grand St #6C, New York, NY 10013"
850000,2,1,480,sold,"200 Bowery #2D, New York, NY 10012"
1800000,2,1,816,sold,"14 Prince St #2C, New York, NY 10012"
3850000,4,5,5500,sold,"240 Centre St, New York, NY 10013"
2450000,2,2,1133,sold,"185 Grand St #3D, New York, NY 10013"
2018000,0,1,843,sold,"7-11 Prince St #4B, New York, NY 10012"
9250000,0,1,2610,sold,"372 Broome St #A, New York, NY 10013"
7500000,0,1,3486,sold,"372 Broome St #B, New York, NY 10013"
1135000,1,1,553,sold,"14 Prince St #2F, New York, NY 10012"
2900000,2,3,1550,sold,"225 Lafayette St #7C, New York, NY 10012"
2018000,2,2,910,sold,"11 Prince St #4B, New York, NY 10012"
1180000,2,1,713,sold,"80 Elizabeth St #2A, New York, NY 10013"
2098000,1,1,731,sold,"25 Prince St #2A, New York, NY 10012"
1600000,0,1,1008,sold,"14 Prince St #1C, New York, NY 10012"
2400000,0,1,1040,sold,"201 Mulberry St #4N, New York, NY 10012"
1315000,1,1,1100,sold,"354 Broome St #3C, New York, NY 10013"
2075000,0,1,1505,sold,"182 Mulberry St #4, New York, NY 10012"
3410000,3,2,2500,sold,"182 Lafayette St #2, New York, NY 10013"
3100000,4,4,2957,sold,"133 Mulberry St #2B, New York, NY 10013"
3650000,0,2,1500,sold,"262 Mott St #4NW, New York, NY 10012"
2050000,1,1,1100,sold,"11 Prince St #1B, New York, NY 10012"
5500000,1,1,4045,sold,"19 Prince St, New York, NY 10012"
5050000,0,1,1652,sold,"211 Elizabeth St #2N, New York, NY 10012"
6597068,3,3,3088,sold,"199 Mott St, New York, NY 10012"
4750000,0,1,2172,sold,"372 Broome St #3A, New York, NY 10013"
7075000,2,2,2750,sold,"285 Lafayette St #4D, New York, NY 10012"
7200000,3,3,3750,sold,"285 Lafayette St #6B, New York, NY 10012"
2180000,2,2,1283,sold,"225 Lafayette St #6A, New York, NY 10012"
2600000,2,2,1137,sold,"2 Prince St #3B, New York, NY 10012"
3200000,2,5,1850,sold,"161 Grand St #7B, New York, NY 10013"
9900000,0,1,3673,sold,"34 Prince St #4B, New York, NY 10012"
10999000,4,4,3167,sold,"224 Mulberry St #5, New York, NY 10012"
2250000,2,2,1384,sold,"133 Mulberry St #3C, New York, NY 10013"
16100000,0,1,9350,sold,"147-149 Grand St, New York, NY 10013"
713000,1,1,470,sold,"200 Bowery #2A, New York, NY 10012"
3049900,2,1,1900,sold,"262 Mott St #310/324, New York, NY 10012"
2400000,3,2,1820,sold,"133 Mulberry St #3D, New York, NY 10013"
3295000,2,2,2733,sold,"262 Mott St #2S, New York, NY 10012"
1020000,1,1,650,sold,"259 Elizabeth St #6C, New York, NY 10012"
577000,0,1,400,sold,"211 Thompson St #3N, Manhattan, NY 10012"
1200000,1,1,750,sold,"308 Mott St #1A, Manhattan, NY 10012"
1750000,2,2,1200,sold,"395 Broadway #7C, New York, NY 10013"
760000,0,1,30996,sold,"183 East Broadway, New York, NY 10002"
1545000,1,1,768,sold,"210 Lafayette St #2B, New York, NY 10012"
2075000,1,1,902,sold,"25 W Houston St #6E, New York, NY 10012"
1661000,1,1,765,sold,"210 Lafayette St #7B, New York, NY 10012"
5380000,0,1,2069,sold,"57 Greene St #5B, New York, NY 10012"
1200000,1,1,650,sold,"124 Thompson St #26, Manhattan, NY 10012"
775000,1,1,600,sold,"135 Division St #7B, New York, NY 10002"
4750000,0,1,4300,sold,"153-155 E Houston St, New York, NY 10002"
760000,0,1,30996,sold,"183 East Broadway, New York, NY 10002"
4329000,2,3,2000,sold,"45 Crosby St #3S, Manhattan, NY 10012"
952500,1,1,750,sold,"185 W Houston St #2J, Manhattan, NY 10014"
1390000,0,1,838,sold,"25 W Houston St #6B, New York, NY 10012"
635000,1,1,310,sold,"199-201 Prince St #16, New York, NY 10012"
530000,0,1,370,sold,"63-69 Cooper Sq #4D, New York, NY 10034"
6.00E+06,0,1,5528,sold,"333 Grand St, New York, NY 10002"
2275000,2,1,1800,sold,"101 Wooster St #5R, Manhattan, NY 10012"
3750000,2,2,2000,sold,"100 Greene St #2, Manhattan, NY 10012"
1450000,1,1,977,sold,"184 Thompson St #1V, New York, NY 10012"
1200000,1,1,779,sold,"50 Franklin St #8E, New York, NY 10013"
8400000,3,4,3750,sold,"40 Bond St #5, New York, NY 10012"
1250000,1,1,784,sold,"52 E 4th St #5S, New York, NY 10003"
530000,0,1,550,sold,"170 Park Row #20-E, Manhattan, NY 10007"
10225000,0,1,3872,sold,"72 Mercer St, New York, NY 10012"
10562500,4,5,3280,sold,"36 Bleecker St #5A, New York, NY 10012"
4100000,0,1,1988,sold,"473 Broadway #7E, New York, NY 10013"
3505000,2,2,1300,sold,"136 Sullivan St #4, New York, NY 10012"
1170000,0,1,667,sold,"40 Delancey St #13C, New York, NY 10002"